"salary_range","cleaned_category","total_jobs"
"$40,000-$59,999","Analytics - Other","52"
"$100,000+","Data Engineer","25"
"$40,000-$59,999","Data Analyst","16"
"$80,000-$99,999","Data Engineer","15"
"$100,000+","Data Scientist","13"
"$60,000-79,999","Data Analyst","12"
"$100,000+","Data Analyst","7"
"$80,000-$99,999","Data Analyst","5"
"$60,000-79,999","Data Scientist","4"
"$60,000-79,999","Analytics - Other","4"
"$80,000-$99,999","Analytics - Other","3"
"$60,000-79,999","Data Engineer","3"
"$100,000+","Analytics - Other","2"
"Under $39,999","Analytics - Other","1"
"$40,000-$59,999","Data Engineer","1"
"Under $39,999","Data Analyst","1"
"$80,000-$99,999","Data Scientist","1"
"$40,000-$59,999","Data Scientist","1"
