"country","cleaned_category","salary_range","total_jobs"
"UK","Data Engineer","$100,000+","14"
"UK","Data Engineer","$80,000-$99,999","14"
"UK","Data Analyst","$40,000-$59,999","11"
"UK","Data Analyst","$60,000-79,999","9"
"UK","Data Scientist","$100,000+","7"
"UK","Data Analyst","$100,000+","4"
"UK","Data Scientist","$60,000-79,999","4"
"UK","Analytics - Other","$60,000-79,999","3"
"UK","Data Analyst","$80,000-$99,999","3"
"UK","Analytics - Other","$80,000-$99,999","2"
"UK","Data Engineer","$60,000-79,999","1"
"UK","Analytics - Other","$100,000+","1"
"UK","Data Scientist","$80,000-$99,999","1"
"UK","Analytics - Other","Under $39,999","1"
"UK","Analytics - Other","$40,000-$59,999","1"
"UK","Data Analyst","Under $39,999","1"
"US","Analytics - Other","$40,000-$59,999","51"
"US","Data Engineer","$100,000+","11"
"US","Data Scientist","$100,000+","6"
"US","Data Analyst","$40,000-$59,999","5"
"US","Data Analyst","$100,000+","3"
"US","Data Analyst","$60,000-79,999","3"
"US","Data Analyst","$80,000-$99,999","2"
"US","Data Engineer","$60,000-79,999","2"
"US","Analytics - Other","$80,000-$99,999","1"
"US","Data Engineer","$80,000-$99,999","1"
"US","Data Engineer","$40,000-$59,999","1"
"US","Analytics - Other","$100,000+","1"
"US","Analytics - Other","$60,000-79,999","1"
"US","Data Scientist","$40,000-$59,999","1"
